adult,backdrop_path,genre_ids,id,Title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,query_year,Year_released,media_type,origin_country,original_name,first_air_date
False,/8v8x4vVbRgrsdU3M4drnD7HQbfe.jpg,"[12, 53, 878]",331,Jurassic Park III,en,Jurassic Park III,"In need of funds for research, Dr. Alan Grant accepts a large sum of money to accompany Paul and Amanda Kirby on an aerial tour of the infamous Isla Sorna. It isn't long before all hell breaks loose and the stranded wayfarers must fight for survival as a host of new -- and even more deadly -- dinosaurs try to make snacks of them.",0.758,/oQXj4NUfS3r3gHXtDOzcJgj1lLc.jpg,2001-07-18,False,False,6.18,7970,2001,2001,film,,,
False,/zQ8AxTPiCiS5nnwXpwTBPBHSaa5.jpg,"[28, 878]",557,Spider-Man,en,Spider-Man,"After being bitten by a genetically altered spider at Oscorp, nerdy but endearing high school student Peter Parker is endowed with amazing powers to become the superhero known as Spider-Man.",191.869,/nXdAh5vUwERL4WGVMaee8RoDEAS.jpg,2002-05-01,False,False,7.3,21016,2002,2002,film,,,
False,/aJFwk1clMal1prxAvKAgHxKPAf.jpg,"[27, 53, 878]",170,28 Days Later,en,28 Days Later,"Twenty-eight days after a killer virus was accidentally unleashed from a British research facility, a small group of London survivors are caught in a desperate struggle to protect themselves from the infected. Carried by animals and humans, the virus turns those it infects into homicidal maniacs -- and it's absolutely impossible to contain.",21.2598,/sQckQRt17VaWbo39GIu0TMOiszq.jpg,2002-10-31,False,False,7.244,8691,2002,2002,film,,,
False,/AcxbOWUbwtIEDisfuhNGHQNfnMK.jpg,"[16, 10751, 35, 878]",11544,Lilo & Stitch,en,Lilo & Stitch,"As Stitch, a runaway genetic experiment from a faraway planet, wreaks havoc on the Hawaiian Islands, he becomes the mischievous adopted alien ""puppy"" of an independent little girl named Lilo and learns about loyalty, friendship, and ʻohana, the Hawaiian tradition of family.",20.9142,/cFuLvQJPoZpuruAtN3rVnMmLIH8.jpg,2002-06-21,False,False,7.56,7176,2002,2002,film,,,
False,/abwxHfymXGAbbH3lo9PDEJEfvtW.jpg,"[12, 28, 878]",1894,Star Wars: Episode II - Attack of the Clones,en,Star Wars: Episode II - Attack of the Clones,"Following an assassination attempt on Senator Padmé Amidala, Jedi Knights Anakin Skywalker and Obi-Wan Kenobi investigate a mysterious plot into the heart of the Separatist movement and the beginning of the Clone Wars.",15.7024,/oZNPzxqM2s5DyVWab09NTQScDQt.jpg,2002-05-15,False,False,6.599,14529,2002,2002,film,,,
False,/PrMb3oeEluauy0q9ZO5xL33A6C.jpg,"[878, 28, 53]",180,Minority Report,en,Minority Report,"John Anderton is a top 'Precrime' cop in the late-21st century, when technology can predict crimes before they're committed. But Anderton becomes the quarry when another investigator targets him for a murder charge.",15.0083,/ccqpHq5tk5W4ymbSbuoy4uYOxFI.jpg,2002-06-20,False,False,7.356,9782,2002,2002,film,,,
False,/f2opsSUSiMdEp6AiY2sbC8QPd8S.jpg,"[878, 12, 16, 10751, 14]",9016,Treasure Planet,en,Treasure Planet,"When space galleon cabin boy Jim Hawkins discovers a map to an intergalactic ""loot of a thousand worlds,"" a cyborg cook named John Silver teaches him to battle supernovas and space storms on their journey to find treasure.",13.9547,/kNhZkR3UNbXfvESQo7mJpOi4tGd.jpg,2002-11-26,False,False,7.577,4686,2002,2002,film,,,
False,/o1l6OCqA3pYDZHIc5L1s7CEzCMv.jpg,"[28, 35, 878]",608,Men in Black II,en,Men in Black II,"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction.",12.1737,/enA22EPyzc2WQ1VVyY7zxresQQr.jpg,2002-07-03,False,False,6.39,10774,2002,2002,film,,,
False,/rsPjEr7o02mo8ex6wD2PbRwasUe.jpg,"[53, 878, 27]",2675,Signs,en,Signs,A family living on a farm finds mysterious crop circles in their fields which suggests something more frightening to come.,10.4977,/YtrIdrTxpRhvCnlw43dwOjfLqx.jpg,2002-08-02,False,False,6.727,6428,2002,2002,film,,,
False,/6z9w8eidKWDDXwZNSVNaRolAYEP.jpg,"[878, 28, 12, 53]",201,Star Trek: Nemesis,en,Star Trek: Nemesis,"En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself.",10.1395,/cldAwhvBmOv9jrd3bXWuqRHoXyq.jpg,2002-12-13,False,False,6.298,1615,2002,2002,film,,,
