year,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Sci-Fi & Fantasy,Science Fiction,TV Movie,Thriller,War,Western,Other,decade
1994,9.338929695697797,5.561385099685205,4.512067156348373,18.88772298006296,6.400839454354669,0.1049317943336831,17.103882476390346,7.135362014690451,3.882476390346275,0.8394543546694648,2.6232948583420774,1.049317943336831,1.7838405036726128,6.190975865687303,2.098635886673662,2.5183630640083945,2.098635886673662,5.246589716684155,0.6295907660020986,1.2591815320041972,0.7345225603357817,1990
1995,9.621289662231321,4.401228249744114,3.7871033776867966,14.636642784032752,6.857727737973388,0.4094165813715456,18.62845445240532,5.629477993858751,3.172978505629478,1.4329580348004094,4.605936540429887,0.2047082906857728,2.1494370522006143,7.983623336745138,1.9447287615148412,3.480040941658137,1.3306038894575232,7.6765609007164795,1.2282497441146365,0.6141248720573182,0.2047082906857728,1990
1996,8.406647116324535,4.398826979472141,3.812316715542522,17.20430107526882,6.35386119257087,0.8797653958944283,19.06158357771261,6.158357771260997,3.3235581622678394,1.270772238514174,3.225806451612903,0.6842619745845552,2.1505376344086025,6.35386119257087,1.9550342130987293,3.4213098729227758,1.857282502443793,7.9178885630498534,0.9775171065493646,0.2932551319648094,0.29325513196480935,1990
1997,8.61244019138756,4.784688995215311,4.114832535885168,15.598086124401913,6.794258373205741,0.6698564593301436,19.043062200956935,5.9330143540669855,3.4449760765550237,1.6267942583732056,3.253588516746411,0.7655502392344498,3.5406698564593304,6.698564593301436,1.3397129186602872,3.5406698564593304,1.244019138755981,7.655502392344498,0.7655502392344498,0.09569377990430622,0.4784688995215311,1990
1998,8.150744960560912,4.382120946538125,4.557405784399649,16.56441717791411,6.047326906222612,0.5258545135845749,18.66783523225241,5.696757230499562,3.5933391761612623,0.9640666082383873,3.5933391761612623,1.2269938650306749,3.2427695004382118,7.186678352322525,1.4899211218229622,3.1551270815074495,1.8404907975460123,7.186678352322525,0.9640666082383873,0.35056967572305,0.6134969325153374,1990
1999,6.88037529319781,3.752931978107897,5.003909304143862,17.591868647380764,5.08209538702111,1.016419077404222,19.62470680218921,5.394839718530102,3.0492572322126663,1.5637216575449568,3.3620015637216576,0.8600469116497262,3.2838154808444098,7.66223612197029,1.9546520719311962,3.440187646598905,2.3455824863174355,6.489444878811572,0.7036747458952306,0.46911649726348714,0.46911649726348703,1990
2000,7.177814029363784,4.241435562805873,4.97553017944535,16.802610114192497,6.117455138662317,0.734094616639478,18.270799347471453,5.628058727569331,3.588907014681892,1.0603588907014683,4.078303425774878,1.3050570962479608,2.6101141924959217,7.585644371941272,1.3050570962479608,3.0995106035889073,1.957585644371941,7.830342577487764,0.8156606851549755,0.3262642740619902,0.48939641109298526,2000
2001,9.203798392987581,4.528853177501826,4.6749452154857565,15.70489408327246,5.697589481373265,0.8765522279035792,17.969320672023375,4.6018991964937905,3.7983929875821767,1.6800584368151936,3.871439006574142,0.7304601899196494,3.1409788166544925,7.815924032140248,1.3148283418553688,3.433162892622352,1.8261504747991233,6.7932797662527395,1.6800584368151936,0.2191380569758948,0.43827611395178967,2000
2002,8.355795148247978,4.380053908355795,4.5822102425876015,15.09433962264151,7.008086253369273,1.2129380053908356,18.935309973045822,5.053908355795148,2.358490566037736,1.482479784366577,3.706199460916442,0.5390835579514826,3.436657681940701,7.008086253369273,1.8194070080862534,2.7628032345013476,1.3477088948787064,8.221024258760108,1.5498652291105122,0.13477088948787064,1.0107816711590298,2000
2003,9.299279633267846,5.1080550098231825,5.50098231827112,15.913555992141454,5.697445972495088,1.7026850032743943,18.07465618860511,5.304518664047151,2.5540275049115913,1.1787819253438114,3.20890635232482,1.5062213490504257,2.685003274394237,6.614276358873608,1.7026850032743943,3.20890635232482,1.9646365422396856,6.614276358873608,0.7858546168958742,0.3929273084479371,0.9823182711198429,2000
2004,8.057971014492754,4.463768115942028,4.579710144927536,15.768115942028984,4.869565217391305,1.565217391304348,19.536231884057973,4.63768115942029,3.304347826086956,1.2753623188405796,4.3478260869565215,1.3333333333333335,3.768115942028986,6.898550724637681,2.086956521739131,3.246376811594203,1.5072463768115942,6.3768115942028984,0.9855072463768115,0.4057971014492754,0.9855072463768118,2000
2005,7.448582545858811,4.05780989438577,4.224569205113952,15.508615897720956,5.503057254030017,1.4452473596442468,19.844357976653697,5.058365758754864,2.8349082823790996,1.556420233463035,5.558643690939411,0.9449694274596998,4.224569205113952,6.170094496942746,1.556420233463035,2.3902167871039466,2.001111728738188,7.226236798221233,0.9449694274596998,0.38910505836575876,1.1117287381878822,2000
2006,7.431192660550459,4.495412844036697,5.596330275229358,15.73394495412844,4.4036697247706424,1.3302752293577982,17.522935779816514,5.321100917431193,3.7155963302752295,1.5137614678899083,6.055045871559633,1.0091743119266057,3.486238532110092,5.688073394495413,1.5596330275229358,3.1192660550458715,2.064220183486239,8.715596330275229,0.6880733944954129,0.1834862385321101,0.3669724770642202,2000
2007,7.291666666666667,3.713768115942029,4.393115942028985,15.443840579710145,5.88768115942029,1.3134057971014492,19.021739130434785,4.3478260869565215,3.713768115942029,1.2681159420289856,6.023550724637681,0.8605072463768116,2.989130434782609,6.7934782608695645,1.3134057971014492,3.170289855072464,1.585144927536232,9.193840579710146,0.6340579710144928,0.4981884057971014,0.5434782608695652,2000
2008,8.746230073244291,4.308487720809995,4.3515725980180955,14.476518741921584,5.2994398965962946,1.981904351572598,19.94829814735028,3.963808703145196,2.9297716501507973,1.7664799655320984,5.385609651012495,1.2063765618267988,3.274450667815597,6.462731581214993,1.7233950883239983,3.1021111589831967,1.2925463162429989,7.798362774666093,1.4218009478672986,0.12925463162429987,0.4308487720809996,2000
2009,8.356004663816556,4.702681694520015,4.041974349008939,15.196268946754762,4.897007384376215,1.4768752429071124,18.577535950252624,3.8087835211815,3.3035367275553824,1.3602798289933928,5.557714729887291,0.777302759424796,3.8087835211815,6.3350174893120865,1.0493587252234746,4.003109211037699,1.9432568985619898,9.016712009327634,0.8161678973960357,0.0777302759424796,0.8938981733385154,2000
2010,8.426749130266717,3.556242752222652,5.4116737533822965,14.998067259373792,5.025125628140704,2.1646695013529187,18.67027444916892,4.4839582528024735,3.440278314650174,1.3142636258214146,5.257054503285659,0.734441437959026,3.8654812524159254,5.991495941244685,1.5848473134905297,3.0537301894085815,1.8167761886354852,8.272129880170082,0.8504058755315036,0.27058368766911484,0.8117510630073445,2010
2011,8.907624633431086,3.775659824046921,5.058651026392962,15.175953079178885,4.36217008797654,2.785923753665689,19.538123167155426,4.728739002932551,2.932551319648094,1.2463343108504399,4.9853372434017595,1.1730205278592376,3.519061583577713,5.865102639296188,1.86950146627566,3.262463343108504,2.126099706744868,6.964809384164222,0.9164222873900294,0.18328445747800587,0.6231671554252199,2010
2012,8.501282521069989,3.1146940271161596,5.496518871381459,15.5734701355808,4.727006229388054,2.088677171124954,19.20117259069256,3.994137046537193,3.041407108831074,1.4290949065591791,5.496518871381459,1.31916452913155,3.261267863686332,5.496518871381459,1.905459875412239,3.1513374862587025,1.7955294979846097,8.061561011359473,1.2092341517039207,0.3297911322828875,0.8061561011359473,2010
2013,8.4070796460177,3.3015656909462217,5.377808032675289,15.690946221919674,5.241660993873383,2.5527569775357386,21.170864533696392,3.369639210347175,2.6208304969366916,1.2253233492171545,4.901293396868618,1.191286589516678,2.859087814840027,5.275697753573859,1.8039482641252553,3.4036759700476518,1.7018379850238259,8.339006126616747,0.6126616746085772,0.3403675970047651,0.6126616746085771,2010
2014,8.42959725257571,3.808929128941617,4.558226662503903,14.985950671245707,5.369965657196379,2.6849828285981894,20.355916328442085,3.6840462066812365,2.466437714642523,1.3112706837339994,5.245082734935997,1.0927255697783327,3.1220730565095223,5.55729004058695,1.9044645644708085,3.153293787074617,1.6546987199500467,8.211052138620044,1.4049328754292851,0.3122073056509522,0.6868560724320949,2010
2015,7.30593607305936,3.4531963470319638,4.623287671232877,14.81164383561644,4.1381278538812785,2.5970319634703194,20.57648401826484,3.9098173515981736,2.853881278538813,1.7123287671232876,5.679223744292237,1.2271689497716893,3.8527397260273974,5.136986301369863,1.9691780821917808,3.339041095890411,3.0821917808219177,7.76255707762557,1.0273972602739725,0.3424657534246575,0.5993150684931506,2010
2016,8.123324396782843,3.5656836461126002,4.369973190348526,14.87935656836461,5.040214477211796,2.1715817694369974,21.34048257372654,3.8873994638069704,2.493297587131367,1.9571045576407506,5.093833780160858,1.0187667560321716,3.3780160857908843,5.495978552278821,2.1179624664879357,2.8150134048257374,2.439678284182306,7.774798927613941,1.1796246648793565,0.40214477211796246,0.4557640750670242,2010
2017,7.538972655251724,3.3733708152312802,4.242269358548429,14.413493483260925,6.184513161257348,2.7089189879887554,20.802453360592896,3.4500383337592635,2.811142346026067,1.6355737285969845,4.625606951188346,0.9711219013544594,4.063378481983134,5.4945054945054945,1.7889087656529516,3.347814975721952,2.4789164324048043,7.922310247891644,1.4566828520316892,0.2811142346026067,0.4088934321492461,2010
2018,7.662463627546072,3.5160038797284185,4.340446168768186,14.282250242483027,6.304558680892337,2.521823472356935,20.926285160038795,3.249272550921436,2.6430649854510184,2.0126091173617846,5.140640155189137,1.139670223084384,4.267701260911736,5.067895247332687,2.255092143549952,2.982541222114452,2.255092143549952,7.6382153249272555,1.0911736178467508,0.24248302618816686,0.460717749757517,2010
2019,7.4939172749391725,3.2116788321167884,5.085158150851581,14.111922141119221,6.301703163017032,2.9927007299270074,21.119221411192214,3.8442822384428226,2.5547445255474455,1.9464720194647203,5.1338199513382,1.143552311435523,4.0632603406326036,3.9659367396593677,2.6034063260340634,2.506082725060827,1.9464720194647203,7.639902676399027,1.6058394160583942,0.21897810218978103,0.5109489051094891,2010
2020,7.656204165444412,2.610736286300968,5.280140803754767,13.787034320915225,5.2508066881783515,4.077442065121736,20.680551481372834,4.341449105309475,2.845409210912291,1.3787034320915226,5.632150190671751,1.3787034320915226,4.488119683191552,4.136110296274567,3.5200938691698442,2.757406864183045,1.349369316515107,6.541507773540628,1.349369316515107,0.32267527134056906,0.6160164271047228,2020
2021,7.793923381770146,2.8533685601056806,6.18229854689564,12.919418758256274,6.340819022457067,2.879788639365918,20.13210039630119,4.253632760898283,2.9326287978863936,1.8494055482166447,4.7556142668428,1.1360634081902246,5.3104359313077945,3.8573315719947163,3.4610303830911495,2.8533685601056806,1.215323645970938,7.239101717305152,1.0303830911492733,0.36988110964332893,0.6340819022457067,2020
2022,7.998937018336434,3.135795907520595,4.996013818761626,14.669146957214988,6.085570023917088,2.949774116396492,19.798033483922403,3.587563114536274,2.710603242094074,1.5678979537602975,5.182035609885729,1.0629816635663034,5.580653733723094,4.809992027637524,3.0029231995748074,2.6043050757374435,0.9035344140313579,7.520595269731597,1.0098325803879882,0.3720435822482062,0.45176720701567896,2020
2023,9.566998244587479,3.364540667056758,4.447045055588063,14.160327677004094,6.436512580456408,1.989467524868344,21.035693387946168,2.399063779988297,2.7794031597425395,2.077238150965477,4.94441193680515,0.7314218841427735,4.856641310708016,4.095962551199532,2.8964306612053834,2.8086600351082502,0.7021650087770626,8.747805734347573,1.1410181392627268,0.26331187829139846,0.5558806319485079,2020
2024,9.724642732659463,3.485535029627048,4.914604391774137,13.349599163471593,6.483095155106308,2.0913210177762287,20.669222725688392,3.067270826071802,2.474729871035204,2.1610317183687697,5.576856047403276,1.3593586615545485,4.287208086441269,3.6249564308121296,3.067270826071802,2.858138724294179,0.24398745207389336,9.062391077030323,0.9759498082955734,0.24398745207389336,0.2788428023701638,2020
