adult,backdrop_path,genre_ids,id,title,original_language,original_title,overview,popularity,poster_path,release_date,softcore,video,vote_average,vote_count,query_year
False,/vEoy6veIJ11XXgLslh2HhKWYC4J.jpg,"[35, 878]",469876,Addio fottuti musi verdi,it,Addio fottuti musi verdi,"Young Ciro Priello, an ultra-skilled Neapolitan graphic, can not find a job that satisfies and appreciates him. After sending the curriculum practically everywhere, he just have to send a copy in space. He will thus be able to work for an alien society based on competence and meritocracy.",0.6793,/6ACERZQZWcWoKzsEoozXJ8DAXki.jpg,2017-11-09,False,False,5.649,398,2017
False,/AfvScEfjWRdVdicFXdbE0MPhNgG.jpg,"[53, 27, 878]",434986,Replace,en,Replace,"Kira's skin starts to age rapidly, dry out and crumble away. But then she discovers that she can replace her own skin with somebody else's.",0.9083,/5pYnf8a9Plaqwfny6lfk5Bpzgo8.jpg,2017-09-02,False,False,4.971,52,2017
False,/y71J24BNl00V1CMJeFJEljKMk5i.jpg,"[878, 16, 28]",521494,Transformers: Titans Return,en,Transformers: Titans Return,"After the Combiner Wars ended, Cybertron started to be rebuilt. However, an undead Starscream has been reincarnated as Trypticon, wreaking havoc around him. To combat this menace, Windblade gathers up a ragtag team of Transformers, including Optimus Prime and Megatron, to resurrect an ancient ally. And while some may be forever changed by the events, others may not emerge with their sparks intact.",1.1096,/nP4nfW0E1cl1dAy6j8iKHsJRyQ2.jpg,2017-11-14,False,False,6.9,201,2017
False,/pF8WdJq2lzaYpcEgrjNwR9mp0l6.jpg,"[28, 878, 10752, 27]",463800,Firebase,en,Firebase,"Set during the Vietnam war, Firebase follows American soldier Hines through an ever-deepening web of science fiction madness.",1.0428,/e6qVOjp3QKHrA7k2sAbJSlDXkRM.jpg,2017-06-28,False,False,6.738,166,2017
False,/9ZbeKzfqJjAjyFLLTaOjOUJay85.jpg,"[10749, 878, 35]",484917,The Man with the Magic Box,pl,Człowiek z magicznym pudełkiem,"A man stricken with amnesia, discovers a mysterious radio whose music brings back troubling memories from his forgotten past.",0.7664,/5TtS4G89BHBBTNMWReTVasFlmVZ.jpg,2017-10-20,False,False,5.452,52,2017
False,/3D0lQ8X3y7n0OatJK0l6NZM88Xo.jpg,"[878, 16]",479469,Adam: The Mirror,en,Adam: The Mirror,"Oats Studios brings to life the next chapter in the Adam story, made in real-time using Unity. Join our amnesiac hero as he discovers a clue about what and who he is.",0.6775,/3GdDzzcZp4Fd0FrySZL5CApoCJT.jpg,2017-10-03,False,False,6.606,52,2017
False,/s8IkskWVBKAAY3McvsJ4P2poFYa.jpg,"[878, 16, 18, 35]",471495,World of Tomorrow Episode Two: The Burden of Other People's Thoughts,en,World of Tomorrow Episode Two: The Burden of Other People's Thoughts,Emily Prime is swept into the brain of an incomplete backup clone of her future self.,0.7015,/8nSucrEs2xZU1bXxhtMfh4imYOE.jpg,2017-09-22,False,False,7.971,68,2017
False,/mDfJG3LC3Dqb67AZ52x3Z0jU0uB.jpg,"[12, 28, 878]",299536,Avengers: Infinity War,en,Avengers: Infinity War,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",84.9549,/7WsyChQLEftFiDOVTGkv3hFpyyt.jpg,2018-04-25,False,False,8.24,32462,2018
False,/8mnXR9rey5uQ08rZAvzojKWbDQS.jpg,"[16, 28, 12, 878]",324857,Spider-Man: Into the Spider-Verse,en,Spider-Man: Into the Spider-Verse,"Struggling to find his place in the world while juggling school and family, Brooklyn teenager Miles Morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only Spider-Man. While wrestling with the implications of his new abilities, Miles discovers a super collider created by the madman Wilson ""Kingpin"" Fisk, causing others from across the Spider-Verse to be inadvertently transported to his dimension.",69.5475,/iiZZdoQBEYBv6id8su7ImL0oCbD.jpg,2018-12-06,False,False,8.393,17541,2018
False,/sIwFcU1pql5a3LdZGxsRKi9JfTL.jpg,"[28, 12, 878]",284054,Black Panther,en,Black Panther,"King T'Challa returns home to the reclusive, technologically advanced African nation of Wakanda to serve as his country's new leader. However, T'Challa soon finds that he is challenged for the throne by factions within his own country as well as without. Using powers reserved to Wakandan kings, T'Challa assumes the Black Panther mantle to join with ex-girlfriend Nakia, the queen-mother, his princess-kid sister, members of the Dora Milaje (the Wakandan 'special forces') and an American secret agent, to prevent Wakanda from being dragged into a world war.",31.9949,/uxzzxijgPIY7slzFvMotPv8wjKA.jpg,2018-02-13,False,False,7.364,23713,2018
