Year_published,theme,book_count
2009,steampunk,56
2009,time_travel,43
2010,aliens,36
2010,alternate_history,52
2010,alternate_universe,62
2010,apocalyptic,70
2010,cyberpunk,37
2010,dystopia,45
2010,hard,25
2010,military,34
2010,robots,37
2010,space_opera,33
2010,steampunk,87
2010,time_travel,48
2011,aliens,63
2011,alternate_history,66
2011,alternate_universe,87
2011,apocalyptic,103
2011,cyberpunk,46
2011,dystopia,92
2011,hard,45
2011,military,59
2011,robots,50
2011,space_opera,41
2011,steampunk,128
2011,time_travel,95
2012,aliens,75
2012,alternate_history,78
2012,alternate_universe,85
2012,apocalyptic,166
2012,cyberpunk,47
2012,dystopia,161
2012,hard,50
2012,military,65
2012,robots,52
2012,space_opera,53
2012,steampunk,146
2012,time_travel,101
2013,aliens,100
2013,alternate_history,80
2013,alternate_universe,78
2013,apocalyptic,174
2013,cyberpunk,68
2013,dystopia,158
2013,hard,51
2013,military,82
2013,robots,63
2013,space_opera,66
2013,steampunk,163
2013,time_travel,104
2014,aliens,105
2014,alternate_history,64
2014,alternate_universe,77
2014,apocalyptic,127
2014,cyberpunk,52
2014,dystopia,134
2014,hard,43
2014,military,97
2014,robots,74
2014,space_opera,64
2014,steampunk,136
2014,time_travel,94
2015,aliens,112
2015,alternate_history,68
2015,alternate_universe,77
2015,apocalyptic,88
2015,cyberpunk,69
2015,dystopia,76
2015,hard,58
2015,military,115
2015,robots,97
2015,space_opera,81
2015,steampunk,118
2015,time_travel,83
2016,aliens,129
2016,alternate_history,72
2016,alternate_universe,78
2016,apocalyptic,56
2016,cyberpunk,66
2016,dystopia,64
2016,hard,40
2016,military,105
2016,robots,79
2016,space_opera,80
2016,steampunk,68
2016,time_travel,54
2017,aliens,87
2017,alternate_history,52
2017,alternate_universe,90
2017,apocalyptic,48
2017,cyberpunk,62
2017,dystopia,56
2017,hard,49
2017,military,82
2017,robots,83
2017,space_opera,71
2017,steampunk,54
2017,time_travel,52
2018,aliens,101
2018,alternate_history,58
2018,alternate_universe,81
2018,apocalyptic,24
2018,cyberpunk,43
2018,dystopia,44
2018,hard,40
2018,military,64
2018,robots,90
2018,space_opera,60
2018,steampunk,38
2018,time_travel,44
2019,aliens,82
2019,alternate_history,33
2019,alternate_universe,65
2019,apocalyptic,31
2019,cyberpunk,35
2019,dystopia,39
2019,hard,40
2019,military,34
2019,robots,60
2019,space_opera,48
2019,steampunk,23
2019,time_travel,34
2020,aliens,45
2020,alternate_history,24
2020,alternate_universe,35
2020,apocalyptic,21
2020,cyberpunk,25
2020,dystopia,25
2020,hard,18
2020,military,24
2020,robots,56
2020,space_opera,27
2020,steampunk,10
2020,time_travel,15
2021,aliens,3
2021,alternate_history,2
2021,alternate_universe,1
2021,apocalyptic,4
2021,dystopia,4
2021,military,1
2021,robots,5
2021,space_opera,7
2021,time_travel,1
2022,aliens,4
2022,alternate_history,1
2022,alternate_universe,1
2022,apocalyptic,1
2022,dystopia,1
2022,robots,4
2022,space_opera,6
2023,alternate_universe,3
2023,apocalyptic,3
2023,dystopia,3
2023,robots,2
2023,space_opera,6
2024,apocalyptic,2
2024,dystopia,8
2024,military,2
2024,robots,1
2024,space_opera,5
2024,time_travel,1
2025,aliens,1
2025,apocalyptic,4
2025,cyberpunk,1
2025,dystopia,3
2025,robots,5
2025,space_opera,3
2025,time_travel,1
