Year_released,theme,title_count
2015,alternate_universe,1
2015,apocalyptic,19
2015,cyberpunk,3
2015,dystopia,16
2015,military,3
2015,robots,17
2015,space_opera,12
2015,steampunk,2
2015,time_travel,13
2016,aliens,9
2016,alternate_history,1
2016,alternate_universe,1
2016,apocalyptic,10
2016,cyberpunk,3
2016,dystopia,10
2016,military,4
2016,robots,8
2016,space_opera,9
2016,time_travel,12
2017,aliens,18
2017,alternate_history,1
2017,alternate_universe,4
2017,apocalyptic,10
2017,cyberpunk,6
2017,dystopia,19
2017,military,5
2017,robots,14
2017,space_opera,10
2017,time_travel,11
2018,aliens,14
2018,alternate_universe,4
2018,apocalyptic,9
2018,cyberpunk,4
2018,dystopia,15
2018,military,3
2018,robots,18
2018,space_opera,13
2018,steampunk,1
2018,time_travel,9
2019,aliens,16
2019,alternate_history,3
2019,alternate_universe,5
2019,apocalyptic,11
2019,cyberpunk,6
2019,dystopia,12
2019,military,4
2019,robots,8
2019,space_opera,7
2019,steampunk,2
2019,time_travel,12
2020,aliens,13
2020,alternate_history,1
2020,alternate_universe,1
2020,apocalyptic,13
2020,cyberpunk,2
2020,dystopia,10
2020,military,3
2020,robots,9
2020,space_opera,10
2020,time_travel,12
2021,aliens,11
2021,alternate_universe,1
2021,apocalyptic,14
2021,cyberpunk,3
2021,dystopia,10
2021,military,3
2021,robots,14
2021,space_opera,8
2021,time_travel,11
2022,aliens,20
2022,alternate_history,1
2022,alternate_universe,3
2022,apocalyptic,9
2022,cyberpunk,2
2022,dystopia,7
2022,military,3
2022,robots,11
2022,space_opera,10
2022,time_travel,18
2023,aliens,6
2023,alternate_universe,3
2023,apocalyptic,10
2023,cyberpunk,3
2023,dystopia,10
2023,military,4
2023,robots,14
2023,space_opera,9
2023,time_travel,12
2024,aliens,12
2024,alternate_history,4
2024,alternate_universe,3
2024,apocalyptic,8
2024,cyberpunk,1
2024,dystopia,6
2024,military,2
2024,robots,10
2024,space_opera,7
2024,steampunk,1
2024,time_travel,10
2025,aliens,9
2025,apocalyptic,7
2025,dystopia,7
2025,military,2
2025,robots,11
2025,space_opera,5
2025,time_travel,6
